id,evidence_quality,evidence_quality_raw,evidence_quality_source,evidence_quality_reason,context_hit,token_confidence
12001,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12002,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12003,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12004,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12005,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12006,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12007,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12008,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12009,N/A,Clear,codex,normalized_label|ctx=data_only,data_only,
12010,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12011,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12012,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12013,N/A,Clear,codex,normalized_label|ctx=data_only,data_only,
12014,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12015,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12016,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12017,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12018,N/A,Clear,codex,normalized_label|ctx=data_only,data_only,
12019,N/A,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12020,N/A,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12021,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12022,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12023,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12024,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12025,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12026,N/A,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12027,N/A,Clear,codex,normalized_label|ctx=data_only,data_only,
12028,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12029,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12030,N/A,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12031,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12032,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12033,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12034,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12035,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12036,N/A,Clear,codex,normalized_label|ctx=data_only,data_only,
12037,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12038,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12039,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12040,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12041,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12042,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12043,N/A,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12044,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12045,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
