id,promise_status,score_yes,score_no,model_family,mode,finetune_path,prompt_id,prompt_path,run_id,source,raw_prediction
11777,Yes,0.99938285,0.00061717,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11508,Yes,0.98998004,0.01001989,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11896,No,0.15432139,0.84567869,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,0
11923,Yes,0.99956745,0.00043253,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11034,Yes,0.99989223,0.00010777,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11484,No,0.00045157,0.99954838,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,0
11086,Yes,0.99620086,0.00379913,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11751,Yes,0.99091750,0.00908247,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11355,Yes,0.99903071,0.00096928,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11524,Yes,0.99880004,0.00119996,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11185,Yes,0.99347043,0.00652963,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
11810,Yes,0.99773091,0.00226915,hfl/chinese-roberta-wwm-ext-large,finetune,models/loop001_st1_a0_real_only/best_st1.pt,,,stage1_rag_t0.70_strict_negative_with_certficate_data-only,bert_high_conf,1
