id,evidence_quality,evidence_quality_raw,evidence_quality_source,evidence_quality_reason
12001,Clear,0,soft_vote,Clear=0.90950066;Not Clear=0.08865846;Misleading=0.00184087;n_members=5
12002,Clear,0,soft_vote,Clear=0.94044561;Not Clear=0.05828587;Misleading=0.00126853;n_members=5
12003,Clear,0,soft_vote,Clear=0.89197658;Not Clear=0.10438578;Misleading=0.00363765;n_members=5
12004,Clear,0,soft_vote,Clear=0.97314205;Not Clear=0.02534887;Misleading=0.00150908;n_members=5
12005,Clear,0,soft_vote,Clear=0.84752548;Not Clear=0.15001801;Misleading=0.00245648;n_members=5
12006,Clear,0,soft_vote,Clear=0.99042666;Not Clear=0.00844132;Misleading=0.00113199;n_members=5
12007,Not Clear,1,soft_vote,Clear=0.13262000;Not Clear=0.86481210;Misleading=0.00256789;n_members=5
12008,Clear,0,soft_vote,Clear=0.95033387;Not Clear=0.04778956;Misleading=0.00187657;n_members=5
12009,Clear,0,soft_vote,Clear=0.65760278;Not Clear=0.33781815;Misleading=0.00457907;n_members=5
12010,Not Clear,1,soft_vote,Clear=0.15823309;Not Clear=0.83969016;Misleading=0.00207672;n_members=5
12011,Clear,0,soft_vote,Clear=0.97407961;Not Clear=0.02431182;Misleading=0.00160858;n_members=5
12012,Clear,0,soft_vote,Clear=0.97162899;Not Clear=0.02684371;Misleading=0.00152729;n_members=5
12013,Clear,0,soft_vote,Clear=0.97915036;Not Clear=0.01872835;Misleading=0.00212126;n_members=5
12014,Clear,0,soft_vote,Clear=0.98369105;Not Clear=0.01453807;Misleading=0.00177090;n_members=5
12015,Not Clear,1,soft_vote,Clear=0.47722407;Not Clear=0.51965667;Misleading=0.00311923;n_members=5
12016,Clear,0,soft_vote,Clear=0.50577382;Not Clear=0.49076152;Misleading=0.00346467;n_members=5
12017,Clear,0,soft_vote,Clear=0.93567842;Not Clear=0.06217982;Misleading=0.00214179;n_members=5
12018,Clear,0,soft_vote,Clear=0.98343943;Not Clear=0.01496054;Misleading=0.00160007;n_members=5
12019,Not Clear,1,soft_vote,Clear=0.26959667;Not Clear=0.72718409;Misleading=0.00321922;n_members=5
12020,Not Clear,1,soft_vote,Clear=0.18387867;Not Clear=0.81079908;Misleading=0.00532224;n_members=5
12021,Not Clear,1,soft_vote,Clear=0.07466644;Not Clear=0.92293844;Misleading=0.00239514;n_members=5
12022,Clear,0,soft_vote,Clear=0.88047139;Not Clear=0.11697908;Misleading=0.00254954;n_members=5
12023,Clear,0,soft_vote,Clear=0.95607442;Not Clear=0.04230636;Misleading=0.00161923;n_members=5
12024,Clear,0,soft_vote,Clear=0.90814854;Not Clear=0.08947771;Misleading=0.00237374;n_members=5
12025,Not Clear,1,soft_vote,Clear=0.45719233;Not Clear=0.53853495;Misleading=0.00427270;n_members=5
12026,Not Clear,1,soft_vote,Clear=0.07443467;Not Clear=0.92351298;Misleading=0.00205234;n_members=5
12027,Clear,0,soft_vote,Clear=0.92716978;Not Clear=0.06988859;Misleading=0.00294162;n_members=5
12028,Clear,0,soft_vote,Clear=0.87124926;Not Clear=0.12577881;Misleading=0.00297190;n_members=5
12029,Not Clear,1,soft_vote,Clear=0.19952692;Not Clear=0.79775716;Misleading=0.00271591;n_members=5
12030,Clear,0,soft_vote,Clear=0.81982576;Not Clear=0.17618319;Misleading=0.00399103;n_members=5
12031,Clear,0,soft_vote,Clear=0.94100269;Not Clear=0.05693746;Misleading=0.00205985;n_members=5
12032,Clear,0,soft_vote,Clear=0.93382382;Not Clear=0.06456563;Misleading=0.00161054;n_members=5
12033,Clear,0,soft_vote,Clear=0.89710184;Not Clear=0.10079979;Misleading=0.00209838;n_members=5
12034,Clear,0,soft_vote,Clear=0.61894855;Not Clear=0.37801764;Misleading=0.00303379;n_members=5
12035,Clear,0,soft_vote,Clear=0.98377209;Not Clear=0.01523501;Misleading=0.00099292;n_members=5
12036,Clear,0,soft_vote,Clear=0.68704427;Not Clear=0.30945375;Misleading=0.00350200;n_members=5
12037,Not Clear,1,soft_vote,Clear=0.21829197;Not Clear=0.77844321;Misleading=0.00326481;n_members=5
12038,Clear,0,soft_vote,Clear=0.97255393;Not Clear=0.02544123;Misleading=0.00200484;n_members=5
12039,Clear,0,soft_vote,Clear=0.53187873;Not Clear=0.46402384;Misleading=0.00409742;n_members=5
12040,Clear,0,soft_vote,Clear=0.66411381;Not Clear=0.33235425;Misleading=0.00353193;n_members=5
12041,Not Clear,1,soft_vote,Clear=0.38402355;Not Clear=0.61148989;Misleading=0.00448657;n_members=5
12042,Not Clear,1,soft_vote,Clear=0.36377334;Not Clear=0.63318505;Misleading=0.00304164;n_members=5
12043,Not Clear,1,soft_vote,Clear=0.43037900;Not Clear=0.56600467;Misleading=0.00361634;n_members=5
12044,Not Clear,1,soft_vote,Clear=0.23207689;Not Clear=0.76491880;Misleading=0.00300430;n_members=5
12045,Not Clear,1,soft_vote,Clear=0.31869800;Not Clear=0.67711198;Misleading=0.00419005;n_members=5
12046,Not Clear,1,soft_vote,Clear=0.13340419;Not Clear=0.86371321;Misleading=0.00288258;n_members=5
12047,Clear,0,soft_vote,Clear=0.79148055;Not Clear=0.20641447;Misleading=0.00210496;n_members=5
12048,Clear,0,soft_vote,Clear=0.68728895;Not Clear=0.30931406;Misleading=0.00339700;n_members=5
