id,evidence_status,evidence_status_raw,filter_passed,prediction_source,postprocess_reason
12001,Yes,1,yes,soft_vote,score_no=0.00001328;score_yes=0.99998674;n_members=5
12002,Yes,1,yes,soft_vote,score_no=0.00009165;score_yes=0.99990834;n_members=5
12003,Yes,1,yes,soft_vote,score_no=0.00043331;score_yes=0.99956670;n_members=5
12004,Yes,1,yes,soft_vote,score_no=0.00003876;score_yes=0.99996123;n_members=5
12005,Yes,1,yes,soft_vote,score_no=0.00001424;score_yes=0.99998574;n_members=5
12006,Yes,1,yes,soft_vote,score_no=0.00001256;score_yes=0.99998744;n_members=5
12007,Yes,1,yes,soft_vote,score_no=0.00009110;score_yes=0.99990886;n_members=5
12008,Yes,1,yes,soft_vote,score_no=0.00000834;score_yes=0.99999166;n_members=5
12009,No,0,yes,soft_vote,score_no=0.77385244;score_yes=0.22614757;n_members=5
12010,Yes,1,yes,soft_vote,score_no=0.00048629;score_yes=0.99951371;n_members=5
12011,Yes,1,yes,soft_vote,score_no=0.00002380;score_yes=0.99997621;n_members=5
12012,Yes,1,yes,soft_vote,score_no=0.00011760;score_yes=0.99988241;n_members=5
12013,N/A,1,yes,soft_vote,score_no=0.00012200;score_yes=0.99987799;n_members=5
12014,Yes,1,yes,soft_vote,score_no=0.01189790;score_yes=0.98810209;n_members=5
12015,Yes,1,yes,soft_vote,score_no=0.00215914;score_yes=0.99784086;n_members=5
12016,Yes,1,yes,soft_vote,score_no=0.27021219;score_yes=0.72978777;n_members=5
12017,Yes,1,yes,soft_vote,score_no=0.00000787;score_yes=0.99999211;n_members=5
12018,N/A,1,yes,soft_vote,score_no=0.00055739;score_yes=0.99944260;n_members=5
12019,No,0,yes,soft_vote,score_no=0.97249240;score_yes=0.02750757;n_members=5
12020,No,0,yes,soft_vote,score_no=0.97620612;score_yes=0.02379387;n_members=5
12021,Yes,1,yes,soft_vote,score_no=0.02395269;score_yes=0.97604731;n_members=5
12022,Yes,1,yes,soft_vote,score_no=0.00079471;score_yes=0.99920528;n_members=5
12023,Yes,1,yes,soft_vote,score_no=0.00001728;score_yes=0.99998274;n_members=5
12024,Yes,1,yes,soft_vote,score_no=0.01011315;score_yes=0.98988685;n_members=5
12025,Yes,1,yes,soft_vote,score_no=0.00329750;score_yes=0.99670252;n_members=5
12026,No,0,yes,soft_vote,score_no=0.78590782;score_yes=0.21409219;n_members=5
12027,N/A,1,yes,soft_vote,score_no=0.00087209;score_yes=0.99912790;n_members=5
12028,Yes,1,yes,soft_vote,score_no=0.00003510;score_yes=0.99996493;n_members=5
12029,No,0,yes,soft_vote,score_no=0.69976240;score_yes=0.30023760;n_members=5
12030,N/A,1,yes,soft_vote,score_no=0.19481802;score_yes=0.80518198;n_members=5
12031,Yes,1,yes,soft_vote,score_no=0.00001683;score_yes=0.99998317;n_members=5
12032,Yes,1,yes,soft_vote,score_no=0.00001466;score_yes=0.99998534;n_members=5
