id,member,Clear,Not Clear,Misleading,pred
12001,ensemble_mt_st123_w1_8_30_mlval_seed123,0.88074738,0.11678455,0.00246804,Clear
12002,ensemble_mt_st123_w1_8_30_mlval_seed123,0.82746309,0.17053923,0.00199768,Clear
12003,ensemble_mt_st123_w1_8_30_mlval_seed123,0.73348922,0.26204044,0.00447032,Clear
12004,ensemble_mt_st123_w1_8_30_mlval_seed123,0.96243614,0.03551992,0.00204399,Clear
12005,ensemble_mt_st123_w1_8_30_mlval_seed123,0.62648886,0.37121120,0.00229998,Clear
12006,ensemble_mt_st123_w1_8_30_mlval_seed123,0.97847968,0.02011694,0.00140332,Clear
12007,ensemble_mt_st123_w1_8_30_mlval_seed123,0.13829629,0.85903251,0.00267121,Not Clear
12008,ensemble_mt_st123_w1_8_30_mlval_seed123,0.93853551,0.05888706,0.00257739,Clear
12009,ensemble_mt_st123_w1_8_30_mlval_seed123,0.77044743,0.22380103,0.00575148,Clear
12010,ensemble_mt_st123_w1_8_30_mlval_seed123,0.19983153,0.79709989,0.00306857,Not Clear
12011,ensemble_mt_st123_w1_8_30_mlval_seed123,0.94232613,0.05524064,0.00243323,Clear
12012,ensemble_mt_st123_w1_8_30_mlval_seed123,0.92921579,0.06875440,0.00202975,Clear
12013,ensemble_mt_st123_w1_8_30_mlval_seed123,0.96253181,0.03521823,0.00224998,Clear
12014,ensemble_mt_st123_w1_8_30_mlval_seed123,0.98057991,0.01709864,0.00232150,Clear
12015,ensemble_mt_st123_w1_8_30_mlval_seed123,0.39804944,0.59769177,0.00425872,Not Clear
12016,ensemble_mt_st123_w1_8_30_mlval_seed123,0.55131859,0.44395557,0.00472583,Clear
12017,ensemble_mt_st123_w1_8_30_mlval_seed123,0.87562269,0.12198215,0.00239520,Clear
12018,ensemble_mt_st123_w1_8_30_mlval_seed123,0.96571046,0.03115288,0.00313676,Clear
12019,ensemble_mt_st123_w1_8_30_mlval_seed123,0.43671066,0.55974174,0.00354760,Not Clear
12020,ensemble_mt_st123_w1_8_30_mlval_seed123,0.28761095,0.70699066,0.00539835,Not Clear
12021,ensemble_mt_st123_w1_8_30_mlval_seed123,0.09500699,0.90159678,0.00339627,Not Clear
12022,ensemble_mt_st123_w1_8_30_mlval_seed123,0.81312555,0.18392275,0.00295164,Clear
12023,ensemble_mt_st123_w1_8_30_mlval_seed123,0.92749596,0.07056740,0.00193671,Clear
12024,ensemble_mt_st123_w1_8_30_mlval_seed123,0.95310330,0.04451487,0.00238182,Clear
12025,ensemble_mt_st123_w1_8_30_mlval_seed123,0.35414398,0.64061660,0.00523938,Not Clear
12026,ensemble_mt_st123_w1_8_30_mlval_seed123,0.14182752,0.85563111,0.00254140,Not Clear
12027,ensemble_mt_st123_w1_8_30_mlval_seed123,0.90115339,0.09496056,0.00388607,Clear
12028,ensemble_mt_st123_w1_8_30_mlval_seed123,0.75294077,0.24258237,0.00447682,Clear
12029,ensemble_mt_st123_w1_8_30_mlval_seed123,0.28437856,0.71118575,0.00443566,Not Clear
12030,ensemble_mt_st123_w1_8_30_mlval_seed123,0.77412385,0.22032489,0.00555124,Clear
12031,ensemble_mt_st123_w1_8_30_mlval_seed123,0.89872551,0.09898400,0.00229048,Clear
12032,ensemble_mt_st123_w1_8_30_mlval_seed123,0.90975165,0.08836398,0.00188430,Clear
12033,ensemble_mt_st123_w1_8_30_mlval_seed123,0.83091098,0.16592379,0.00316526,Clear
12034,ensemble_mt_st123_w1_8_30_mlval_seed123,0.60756600,0.38946164,0.00297232,Clear
12035,ensemble_mt_st123_w1_8_30_mlval_seed123,0.96984553,0.02897493,0.00117953,Clear
12036,ensemble_mt_st123_w1_8_30_mlval_seed123,0.42135468,0.57460964,0.00403570,Not Clear
12037,ensemble_mt_st123_w1_8_30_mlval_seed123,0.21807985,0.77905190,0.00286825,Not Clear
12038,ensemble_mt_st123_w1_8_30_mlval_seed123,0.96706665,0.03040572,0.00252756,Clear
12039,ensemble_mt_st123_w1_8_30_mlval_seed123,0.58968163,0.40633777,0.00398060,Clear
12040,ensemble_mt_st123_w1_8_30_mlval_seed123,0.49613240,0.50037241,0.00349521,Not Clear
12041,ensemble_mt_st123_w1_8_30_mlval_seed123,0.44751859,0.54531741,0.00716402,Not Clear
12042,ensemble_mt_st123_w1_8_30_mlval_seed123,0.17799915,0.81883633,0.00316458,Not Clear
12043,ensemble_mt_st123_w1_8_30_mlval_seed123,0.49226698,0.50402153,0.00371150,Not Clear
12044,ensemble_mt_st123_w1_8_30_mlval_seed123,0.19016564,0.80688828,0.00294606,Not Clear
12045,ensemble_mt_st123_w1_8_30_mlval_seed123,0.39468393,0.60113609,0.00418000,Not Clear
12046,ensemble_mt_st123_w1_8_30_mlval_seed123,0.14027855,0.85641342,0.00330800,Not Clear
12047,ensemble_mt_st123_w1_8_30_mlval_seed123,0.85291600,0.14529222,0.00179177,Clear
12048,ensemble_mt_st123_w1_8_30_mlval_seed123,0.59842217,0.39708516,0.00449266,Clear
