id,promise_status,score_yes,score_no,model_family,mode,finetune_path,prompt_id,prompt_path,run_id,source,raw_prediction
12001,Yes,0.97812872,0.02187128,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12002,Yes,0.97612591,0.02387409,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12003,Yes,0.91955585,0.08044414,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12004,Yes,0.97105143,0.02894856,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12005,Yes,0.98516031,0.01483971,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12006,Yes,0.98561976,0.01438024,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12007,Yes,0.93906407,0.06093596,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12008,Yes,0.97003372,0.02996628,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12009,Yes,0.86454226,0.13545778,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
12010,Yes,0.97814003,0.02185993,soft_vote,soft_vote,models/ensemble_models/stage1/a3_b1_add_val/seed123/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed2024/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed31337/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed42/focal_g3_w4/best_st1.pt;models/ensemble_models/stage1/a3_b1_add_val/seed7/focal_g3_w4/best_st1.pt,,,softvote_st1_local,soft_vote_ensemble,1
