id,member,score_no,score_yes,pred
12001,focal_g3_w4,0.00410399,0.99589598,Yes
12002,focal_g3_w4,0.00783645,0.99216354,Yes
12003,focal_g3_w4,0.02118279,0.97881716,Yes
12004,focal_g3_w4,0.00622367,0.99377632,Yes
12005,focal_g3_w4,0.00682092,0.99317908,Yes
12006,focal_g3_w4,0.00474981,0.99525023,Yes
12007,focal_g3_w4,0.00841515,0.99158490,Yes
12008,focal_g3_w4,0.00316004,0.99684000,Yes
12009,focal_g3_w4,0.03598854,0.96401149,Yes
12010,focal_g3_w4,0.00578810,0.99421185,Yes
12011,focal_g3_w4,0.11451126,0.88548869,Yes
12012,focal_g3_w4,0.01461185,0.98538810,Yes
12013,focal_g3_w4,0.97505432,0.02494566,No
12014,focal_g3_w4,0.27013445,0.72986561,Yes
12015,focal_g3_w4,0.05041911,0.94958091,Yes
12016,focal_g3_w4,0.01560416,0.98439586,Yes
12017,focal_g3_w4,0.12359502,0.87640494,Yes
12018,focal_g3_w4,0.92204744,0.07795249,No
12019,focal_g3_w4,0.01800713,0.98199284,Yes
12020,focal_g3_w4,0.03290277,0.96709722,Yes
12021,focal_g3_w4,0.00997511,0.99002492,Yes
12022,focal_g3_w4,0.02681283,0.97318721,Yes
12023,focal_g3_w4,0.00310192,0.99689806,Yes
12024,focal_g3_w4,0.26961794,0.73038203,Yes
12025,focal_g3_w4,0.03040926,0.96959072,Yes
12026,focal_g3_w4,0.01513828,0.98486173,Yes
12027,focal_g3_w4,0.89877445,0.10122558,No
12028,focal_g3_w4,0.00468158,0.99531835,Yes
12029,focal_g3_w4,0.07096105,0.92903900,Yes
12030,focal_g3_w4,0.60187000,0.39813003,No
12031,focal_g3_w4,0.00333504,0.99666494,Yes
12032,focal_g3_w4,0.10912529,0.89087468,Yes
12033,focal_g3_w4,0.00947153,0.99052840,Yes
12034,focal_g3_w4,0.00350334,0.99649662,Yes
12035,focal_g3_w4,0.04296781,0.95703214,Yes
12036,focal_g3_w4,0.92524540,0.07475457,No
12037,focal_g3_w4,0.00873788,0.99126208,Yes
12038,focal_g3_w4,0.00593631,0.99406368,Yes
12039,focal_g3_w4,0.00911294,0.99088705,Yes
12040,focal_g3_w4,0.04053567,0.95946431,Yes
12041,focal_g3_w4,0.22345814,0.77654183,Yes
12042,focal_g3_w4,0.02188989,0.97811013,Yes
12043,focal_g3_w4,0.97418040,0.02581960,No
12044,focal_g3_w4,0.00620612,0.99379385,Yes
12045,focal_g3_w4,0.02990644,0.97009361,Yes
12046,focal_g3_w4,0.00765562,0.99234444,Yes
12047,focal_g3_w4,0.00929888,0.99070108,Yes
12048,focal_g3_w4,0.02771234,0.97228765,Yes
12049,focal_g3_w4,0.01117511,0.98882490,Yes
12050,focal_g3_w4,0.04263159,0.95736849,Yes
12051,focal_g3_w4,0.00841759,0.99158245,Yes
12052,focal_g3_w4,0.97518593,0.02481402,No
12053,focal_g3_w4,0.16911729,0.83088267,Yes
12054,focal_g3_w4,0.96290755,0.03709248,No
12055,focal_g3_w4,0.00475620,0.99524373,Yes
12056,focal_g3_w4,0.00856525,0.99143475,Yes
12057,focal_g3_w4,0.71256179,0.28743818,No
12058,focal_g3_w4,0.01379997,0.98620009,Yes
12059,focal_g3_w4,0.11525858,0.88474149,Yes
12060,focal_g3_w4,0.02112295,0.97887701,Yes
12061,focal_g3_w4,0.71848905,0.28151098,No
12062,focal_g3_w4,0.18459970,0.81540036,Yes
12063,focal_g3_w4,0.89120972,0.10879029,No
12064,focal_g3_w4,0.00725152,0.99274856,Yes
