id,promise_status,score_yes,score_no,model_family,mode,finetune_path,prompt_id,prompt_path,run_id,source,raw_prediction
12001,Yes,0.97038813,0.02961188,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12002,Yes,0.96518214,0.03481784,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12003,Yes,0.89566433,0.10433569,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12004,Yes,0.96282576,0.03717425,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12005,Yes,0.97841860,0.02158141,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12006,Yes,0.98046482,0.01953515,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12007,Yes,0.91213775,0.08786224,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12008,Yes,0.96692047,0.03307952,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12009,Yes,0.83131987,0.16868011,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
12010,Yes,0.96901736,0.03098265,soft_vote,soft_vote,models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed123/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed2024/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed31337/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed42/best_st1.pt;models/submission/stage1/ensemble_st1_a3_b1_focal_g3_w4_seed7/best_st1.pt,,,softvote_st1_submit,soft_vote_ensemble,1
