id,verification_timeline,stage4_flow,stage1_promise_str,stage4_filtered,stage4_raw_timeline,stage4_postprocess_rule,stage4_error
12001,already,filter_pred_by_codex,,no,already,,
12002,between_2_and_5_years,filter_pred_by_codex,,no,between_2_and_5_years,,
12003,already,filter_pred_by_codex,,no,already,,
12004,already,filter_pred_by_codex,,no,already,,
12005,already,filter_pred_by_codex,,no,already,,
12006,more_than_5_years,filter_pred_by_codex,,no,more_than_5_years,,
12007,between_2_and_5_years,filter_pred_by_codex,,no,between_2_and_5_years,,
12008,already,filter_pred_by_codex,,no,already,,
12009,already,filter_pred_by_codex,,no,already,,
12010,between_2_and_5_years,filter_pred_by_codex,,no,between_2_and_5_years,,
